,content,content_stemmed,id,type,new,table_id,json,label_added,prediction,confidence
0,AKTIVA Forderungen aus Lieferungen und Leistungen Aktive latente Steuern PASSIVA Kumuliertes Konzernergebnis,aktiva forder aus liefer und leistung aktiv latent steu passiva kumuliert konzernergebnis,691.json_table_33,not relevant,"['691', 'json_table_33']",json_table_33,691,2020-07-24 21:28:15.284715,Aktiva,0.21
1,"Immaterielle Vermögenswerte Sachanlagen Vorräte Vertragsvermögenswerte Sonstige Vermögenswerte Abgegrenzte Aufwendungen, Vertragsanbahnungskosten und Vertragserfüllungskosten Sonstige Rückstellungen Vertragsverbindlichkeiten Sonstige Verbindlichkeiten BRUTTOWERT Saldierung KONZERNBILANZ",immateriell vermogenswert sachanlag vorrat vertragsvermogenswert sonstig vermogenswert abgegrenzt aufwend vertragsanbahnungskost und vertragserfullungskost sonstig ruckstell vertragsverbind sonstig verbind bruttowert saldier konzernbilanz,803.json_table_59,not relevant,"['803', 'json_table_59']",json_table_59,803,2020-07-24 21:57:29.428883,Vermögenswerte,0.25
2,A. Umlaufvermögen I. Guthaben bei Kreditinstituten Passivseite A. Eigenkapital I. Gezeichnetes Kapital II. Verlustvortrag III. Jahresfehlbetrag buchmäßiges Eigenkapital B. Rückstellungen,umlaufvermog guthab bei kreditinstitut passivseit eigenkapital gezeichnet kapital verlustvortrag iii jahresfehlbetrag buchmaig eigenkapital ruckstell,527.json_table_1,Bilanz,"['527', 'json_table_1']",json_table_1,527,2020-07-25 15:33:46.950612,Bilanz,0.2783333333333333
3,1. Forderungen aus Lieferungen und Leistungen davon mit einer Restlaufzeit von mehr als einem Jahr: davon gegenüber Gesellschaftern:,forder aus liefer und leistung davon mit ein restlaufzeit von mehr als ein jahr davon gegenub gesellschaft,65.json_table_5,not relevant,"['65', 'json_table_5']",json_table_5,65,2020-07-23 20:06:33.162186,Forderungen,0.31
4,Zinsen und ähnliche Aufwendungen nahestehende Unternehmen Zinsaufwand aus Kontokorrenten Zinsaufwand aus der Aufzinsung langfristiger Rückstellungen Avalprovisionen Bankgebühren und -provisionen Zinsaufwand aus steuerlicher Betriebsprüfung Sonstige GESAMT,zins und ahnlich aufwend nahesteh unternehm zinsaufwand aus kontokorrent zinsaufwand aus der aufzins langfrist ruckstell avalprovision bankgebuhr und provision zinsaufwand aus steu betriebspruf sonstig gesamt,900.json_table_45,not relevant,"['900', 'json_table_45']",json_table_45,900,2020-07-25 15:37:55.729613,not relevant,0.32
5,A. Rückstellungen B. Verbindlichkeiten Summe Passiva,ruckstell verbind summ passiva,253.json_table_2,,"['253', 'json_table_2']",json_table_2,253,,Passiva,0.32285714285714284
6,A. Rückstellungen B. Verbindlichkeiten Summe Passiva,ruckstell verbind summ passiva,679.json_table_2,,"['679', 'json_table_2']",json_table_2,679,,Passiva,0.32285714285714284
7,A. Rückstellungen B. Verbindlichkeiten Summe Passiva,ruckstell verbind summ passiva,72.json_table_2,,"['72', 'json_table_2']",json_table_2,72,,Passiva,0.32285714285714284
8,A. Rückstellungen B. Verbindlichkeiten Summe Passiva,ruckstell verbind summ passiva,319.json_table_2,,"['319', 'json_table_2']",json_table_2,319,,Passiva,0.32285714285714284
9,Ausgewiesene Position Verbindlichkeiten gegenüber verbundenen Unternehmen Verbindlichkeiten gegenüber Gesellschaftern,ausgewies position verbind gegenub verbund unternehm verbind gegenub gesellschaft,735.json_table_3,,"['735', 'json_table_3']",json_table_3,735,,not relevant,0.3340659340659341
